"Australian Brass","26","Australien","verschiedene Dirigenten","""Saddleworth Festival Overture (Goff Richards); Aspects of Andrew Lloyd Webber (Arr. Peter Graham); Ash Wednesday (Barry McKimm); The Lark in the Clear Air (Trad. / Arr. Eric Banks); Festive Overture (Dmitrij Schostakowitsch / Arr. Barrie Gott); Lohengrin: Zug der Frauen zum Münster (Richard Wagner / Arr. William Himes); Mlada: Zug der Ritter (Nikolai Rimsky-Korsakow / Arr. James Curnow); Hejre Kati (Trad. / Arr. Cook); Moses. get down (Barrie Gott); Goodbye to Love (Richard Carpenter / Arr. Ray Farr); On a Hymnsong of Philip Bliss (David Holsinger / Arr. Barrie Gott); The Kingdom Triumphant (Eric Ball)""","ausaustralianbrass.jpg","","Ja"
"Australian Wind Orchestra","27","Australien","Dir. Russell Hammond","""The Beau Ideal (John Philip Sousa); Colonial Song (Percy Aldridge Grainger); Konzert für Posaune (Laury Grøndahl); Eminence (Ralph Hultgren); Folk Song Suite Nr. 3 (David Stanhope) Glory Glory (E. Wilson); The Little Ripper March (David Stanhope); National Anthems of Australia (Trad.); Thema und Variationen op. 43 (Arnold Schönberg); Variations on a Hymn by Louis Bourgeois (Claude T. Smith)""","","","Ja"
"Barcelona '92 ","34","Belgien","Belgisches Luftwaffenmusikkorps / Alain Crépin","""Barcelona '92 (Horst Schelcke); Convergents (Franco Cesarini); Granados Square (Rob Ares); Music for Drums (Luc Gistel); Memory (Rob Ares); Spirituals! Spirituals! (Rob Ares); Balerna (Franco Cesarini); Suite (Jan Segers); Night Fantasy (Dirk van Goubergen); Pizzicato Polka (Johann Strauß / Arr. Marc Rial); Holiday on Jamaica (Hans Fillinger); A Happy Band Dixie (Rob Ares); Rock about (Frede Gines)""","bbarcelona92.jpg","","Ja"
"Carnival","35","Belgien","Ad hoc wind orchestra / Hardy Mertens und Gerhard Sporken","""Kompositionen von Hardy Mertens: Philips Centennial March; The Heavenly Flute Player and the Dragon King; Arnoldo; Aphrodite; Kyklades; Romario; Jordon's Gum Chewers: Finale; Ten Romantic Moods: 2 Sätze; Ollie Goes Bananas; Helmuth Rainer Marsch; Sinfonie No. 2: Carnival""","bcarnival.jpg","","Ja"
"Cartoon","36","Belgien","Koninklijke Harmonie De Eendracht Wommelgem / Luc Versavel","""Cartoon (Paul Hart); Believe me if all those endearing young charms (Simone Mantia / Arr. Brasch); Home to Emily (Jay Chattaway); Széki Muzsika (László Gulyás); Sentimentale (Claude Bolling / Arr. Kam); Spartacus (Jan Van der Roost)""","bcartoonwommelgem.jpg","","Ja"
"Ceciliade","37","Belgien","Koninklijke Harmonie »Sainte Cécilia« Zele / Dirk De Caluwe","""The Hunchback of Notre Dame (Alan Menken / Arr. Calvin Custer); The Quest (Bert Appermont / Frank Van Baelen); Unexpected Song (Andrew Lloyd Webber / Arr. E. Mast); Sambre et Meuse (Rauski / Arr. Calvin Custer); Capriccio (Erik Mast); The Legend of Ali-Baba (Bert Appermont & Frank Van Baelen); Bagatelle (Ben Haemhouts)""","belceciliade.jpg","","Ja"
"Cercle Musicale","38","Belgien","Cercle Musicale »La Calamine« Kelmis / Jo Conjaerts","""Einzugsmarsch der Bojaren (Johann Halvorsen); Corsican Litany (Vaclav Nelhybel); Concertino for Flute (Cécile Chaminade); Mlada: Zug der Ritter (Nikolai Rimsky-Korsakow); Concierto de Aranjuez (Joaquin Rodrigo); Mazama (Jay Chattaway); Sinatra in Concert (Arr. Jerry Nowak); Rollo Takes a Walk (David Maslanka); Las Primeras Horas (Bruno Herff)""","bkelmis.jpg","","Ja"
"Christmas around the World – Winds and Voices 2","43","Belgien","Concertband voor Vlaanderen / Josef Ratajczak","""Cantique de Noel (Adolphe Adam / Arr. Willy Hautvast); Merry Christmas (Arr. Willy Hautvast); Gloria in excelsis Deo (Arr. Jef Penders); Christmas Time (Arr. Kees Vlak); Nu daagt het in het Oosten (Meindert Boekel); Klingende Weihnacht (Arr. Josef Hastreiter); An International Christmas (Kees Vlak); Christmas in Poland (Arr. Krismona di Muremo); Adeste fidelis (Arr. Jef Penders); Fantasy on French Christmas Songs (Kees Vlak); A Swinkling Christmas (Arr. Willy Hautvast)""","bchristmasaround.jpg","","Ja"
"Clarinando","39","Belgien","Belgisches Luftwaffenmusikkorps / Alain Crépin","""Festival Suite (André Waignein); Flashes for Band (Jan Segers); Dynamic Fantasy (André Waignein); Interlude for Band (Franco Cesarini); Clarinando (R. Comello) u.a.""","","","Ja"
"Concert Band Vooruit","40","Belgien","Harmonieorkest »Vooruit« Harelbeke / Geert Verschaeve","Kompositionen von Werner Brüggemann: Vereintes Europa / San Francisco / Romanze im Park / Linzer Leben / Musikfest-Suite / Aus der Heimat / Hillingermarsch / Zu Gottes Ehr' / Pannonischer Festmarsch / Introduction und Bolero / Dr. Mo und Co. / Musica Festiva / Vivat Lentia / Ave Maria / Andante cantabile / Multi Media","bharelbruegg.jpg","","Ja"
