"1","3. Deutscher Orchesterwettbewerb ‘92","Burlesque ","Salnikow, Georgij","Originalwerk","Stert, Johannes","Orchesterverein Hilgen","","3. Deutscher Orchesterwettbewerb '92","1","Gemischte Aufnahmen","verschiedene Blasorchester und Blechbläserensembles auf einer der insgesamt vier CDs","""Burlesque (Georgij Salnikow); Prelude-Variations (Claude T. Smith); Music for Prague 1968: Interlude, Toccata und Choral (Karel Husa); Evocazioni (Paul Huber)""","Ars musici AMP 5049-2","Erster CD-Mitschnitt einer deutschen Amateurmusik-Olympiade, wie man den alle vier Jahre stattfindenden Deutschen (Laien-) Orchesterwettbewerb gerne nennt. Die Aufnahmen von 1992 aus Goslar stammen in der genannten Reihenfolge von folgenden Blasorchestern: Orchesterverein Hilgen (Platz 4), Saar Wind Orchestra (1), Stadtkapelle Wangen (3) und Stadtkapelle Wertingen (2).","","BLEBläserensembleKOB","","","","","","","09.04.2000","","","","","","","","","","","","","Ars musici","","","","1","","","","Ja","","","1","49","2","CD 2 von 49","87 2209 1 32775 127 0 0 1","23"
"1","3. Deutscher Orchesterwettbewerb ‘92","Evocazioni","Huber, Paul","Originalwerk","Lipp, Manfred","Stadtkapelle Wertingen","","3. Deutscher Orchesterwettbewerb '92","1","Gemischte Aufnahmen","verschiedene Blasorchester und Blechbläserensembles auf einer der insgesamt vier CDs","""Burlesque (Georgij Salnikow); Prelude-Variations (Claude T. Smith); Music for Prague 1968: Interlude, Toccata und Choral (Karel Husa); Evocazioni (Paul Huber)""","Ars musici AMP 5049-2","Erster CD-Mitschnitt einer deutschen Amateurmusik-Olympiade, wie man den alle vier Jahre stattfindenden Deutschen (Laien-) Orchesterwettbewerb gerne nennt. Die Aufnahmen von 1992 aus Goslar stammen in der genannten Reihenfolge von folgenden Blasorchestern: Orchesterverein Hilgen (Platz 4), Saar Wind Orchestra (1), Stadtkapelle Wangen (3) und Stadtkapelle Wertingen (2).","","BLEBläserensembleKOB","","","","","","","09.04.2000","","","","","","","","","","","","","Ars musici","","","","1","","","","Ja","","","1","49","2","CD 2 von 49","87 2209 1 32775 127 0 0 1","23"
"1","3. Deutscher Orchesterwettbewerb ‘92","Music for Prague 1968: Interlude, Toccata und Choral","Husa, Karel","Originalwerk","Gross, Alfred","Stadtkapelle Wangen","","3. Deutscher Orchesterwettbewerb '92","1","Gemischte Aufnahmen","verschiedene Blasorchester und Blechbläserensembles auf einer der insgesamt vier CDs","""Burlesque (Georgij Salnikow); Prelude-Variations (Claude T. Smith); Music for Prague 1968: Interlude, Toccata und Choral (Karel Husa); Evocazioni (Paul Huber)""","Ars musici AMP 5049-2","Erster CD-Mitschnitt einer deutschen Amateurmusik-Olympiade, wie man den alle vier Jahre stattfindenden Deutschen (Laien-) Orchesterwettbewerb gerne nennt. Die Aufnahmen von 1992 aus Goslar stammen in der genannten Reihenfolge von folgenden Blasorchestern: Orchesterverein Hilgen (Platz 4), Saar Wind Orchestra (1), Stadtkapelle Wangen (3) und Stadtkapelle Wertingen (2).","","BLEBläserensembleKOB","","","","","","","09.04.2000","","","","","","","","","","","","","Ars musici","","","","1","","","","Ja","","","1","49","2","CD 2 von 49","87 2209 1 32775 127 0 0 1","23"
"1","3. Deutscher Orchesterwettbewerb ‘92","Prelude Variations","Smith, Claude T.","Originalwerk","Neuman, Manfred","Saar Wind Orchestra","","3. Deutscher Orchesterwettbewerb '92","1","Gemischte Aufnahmen","verschiedene Blasorchester und Blechbläserensembles auf einer der insgesamt vier CDs","""Burlesque (Georgij Salnikow); Prelude-Variations (Claude T. Smith); Music for Prague 1968: Interlude, Toccata und Choral (Karel Husa); Evocazioni (Paul Huber)""","Ars musici AMP 5049-2","Erster CD-Mitschnitt einer deutschen Amateurmusik-Olympiade, wie man den alle vier Jahre stattfindenden Deutschen (Laien-) Orchesterwettbewerb gerne nennt. Die Aufnahmen von 1992 aus Goslar stammen in der genannten Reihenfolge von folgenden Blasorchestern: Orchesterverein Hilgen (Platz 4), Saar Wind Orchestra (1), Stadtkapelle Wangen (3) und Stadtkapelle Wertingen (2).","","BLEBläserensembleKOB","","","","","","","09.04.2000","","","","","","","","","","","","","Ars musici","","","","1","","","","Ja","","","1","49","2","CD 2 von 49","87 2209 1 32775 127 0 0 1","23"
"10","Music of Fisher Tull – A Celebration!","A Passing Fantasy","Tull, Fisher","Originalwerk","nicht bekannt","nicht bekannt","","Music of Fisher Tull – A Celebration!","10","Gemischte Aufnahmen","verschiedene Interpreten","The Final Convenant / A Passing Fantasy","Mark Recordings","Hinweise zu den Produktionen der Firma Mark Custom Recording Service siehe CD »1988 Mid-West US Marine Band«.","","KOB","","","","","","","09.04.2000","","","","","","","","","","","","","Mark","","","","1","","","","Ja","","","1","49","36","CD 36 von 49","87 2209 1 34262 1321 0 0 1","23"
"10","Music of Fisher Tull – A Celebration!","The Final Convenant","Tull, Fisher","Originalwerk","nicht bekannt","nicht bekannt","","Music of Fisher Tull – A Celebration!","10","Gemischte Aufnahmen","verschiedene Interpreten","The Final Convenant / A Passing Fantasy","Mark Recordings","Hinweise zu den Produktionen der Firma Mark Custom Recording Service siehe CD »1988 Mid-West US Marine Band«.","","KOB","","","","","","","09.04.2000","","","","","","","","","","","","","Mark","","","","1","","","","Ja","","","1","49","36","CD 36 von 49","87 2209 1 34262 1321 0 0 1","23"
"11","New Brass Symphony","Armageddon  ","Badings, Henk","Originalwerk","Boudreau, Robert Austin","American Wind Symphony Orchestra","","New Brass Symphony","11","Gemischte Aufnahmen","American Wind Symphony Orchestra / Robert A. Boudreau","""Concerto für Percussion und Bläser (Toshiro Mayuzumi); Pittsburgh Overture (Krzysztof Penderecki); Armageddon (Henk Badings)""","Bayer-Records","Auf dieser CD erklingt Krysztof Pendereckis einziges Werk für grosse Bläserbesetzung in einer authentischen Aufnahme. Robert Austin Boudreau hatte das Werk bei Penderecki für das American Wind Symphony Orchestra in Auftrag gegeben.","mixnewbrasssymphony","KOB","","","","","","","10.04.2000","","","","","","","","","","","","","Bayer","","","","1","","","","Ja","mixnewbrasssymphony.jpg","","1","49","37","CD 37 von 49","87 2209 1 34338 1380 0 0 1","23"
"11","New Brass Symphony","Concerto für Percussion und Bläser","Mayuzumi, Toshiro","Originalwerk","Boudreau, Robert Austin","American Wind Symphony Orchestra","","New Brass Symphony","11","Gemischte Aufnahmen","American Wind Symphony Orchestra / Robert A. Boudreau","""Concerto für Percussion und Bläser (Toshiro Mayuzumi); Pittsburgh Overture (Krzysztof Penderecki); Armageddon (Henk Badings)""","Bayer-Records","Auf dieser CD erklingt Krysztof Pendereckis einziges Werk für grosse Bläserbesetzung in einer authentischen Aufnahme. Robert Austin Boudreau hatte das Werk bei Penderecki für das American Wind Symphony Orchestra in Auftrag gegeben.","mixnewbrasssymphony","KOB","","","","","","","10.04.2000","","","","","","","","","","","","","Bayer","","","","1","","","","Ja","mixnewbrasssymphony.jpg","","1","49","37","CD 37 von 49","87 2209 1 34338 1380 0 0 1","23"
"11","New Brass Symphony","Pittsburgh Overture  ","Penderecki, Krzysztof","Originalwerk","Boudreau, Robert Austin","American Wind Symphony Orchestra","","New Brass Symphony","11","Gemischte Aufnahmen","American Wind Symphony Orchestra / Robert A. Boudreau","""Concerto für Percussion und Bläser (Toshiro Mayuzumi); Pittsburgh Overture (Krzysztof Penderecki); Armageddon (Henk Badings)""","Bayer-Records","Auf dieser CD erklingt Krysztof Pendereckis einziges Werk für grosse Bläserbesetzung in einer authentischen Aufnahme. Robert Austin Boudreau hatte das Werk bei Penderecki für das American Wind Symphony Orchestra in Auftrag gegeben.","mixnewbrasssymphony","KOB","","","","","","","10.04.2000","","","","","","","","","","","","","Bayer","","","","1","","","","Ja","mixnewbrasssymphony.jpg","","1","49","37","CD 37 von 49","87 2209 1 34338 1380 0 0 1","23"
"12","Perantoni plays Perantoni","Konzert für Tuba  ","Jager, Robert","Originalwerk","Begian, Harry","University of Illinois Band ","1","Perantoni plays Perantoni","12","Gemischte Aufnahmen","University of Illinois Band / Harry Begian u.a.","Konzert für Tuba (Robert Jager)","Mark Recordings 2433-MCD","Der Tubist Daniel Perantoni spielt hier Kompositionen mit verschiedenen Begleitinstrumenten. [Hinweise zu den Produktionen der Firma Mark Custom Recording Service siehe CD »1988 Mid-West US Marine Band«.]","mixperantoni","KOB","Carpe Diem Musikverlag","35,00","mcd2433","1","1","","10.04.2000","CD","","35,00 DM","1","","","","","","","","","Mark","","31.5","31,5 DM","1","","","","Ja","mixperantoni.jpg","Diese CD kann bei dvo bestellt werden","1","49","38","CD 38 von 49","87 2209 1 34512 1531 0 0 1","23"
