"University of Warwick III","23","Gemischte Aufnahmen","WARMUS CD 003","Bei den drei CDs »University of Warwick«handelt es sich um Zusmmenschnitte verschiedener Ensembles der University of Warwick. Dabei ist das Wind Orchestra mit jeweils einem Stück vertreten.","","KOB","","","","","","","WARMUS","",""
"Zur Ehre Gottes – zur Freude der Menschen","24","Gemischte Aufnahmen","TW 951 452","","","KOB","","","","","","","TW","",""
"Live - 2. Internationaler Wettbewerb für U-Musik St. Gallen 1995","25","International","Amos 5764","Der Wettbewerb in St. Gallen hat sich auf anspruchsvolle Unterhaltungsmusik spezialisiert. Showeinlagen der teilnehmenden Orchester sind ebenfalls erwünscht – weshalb bei aller auch hier vorhandenen musikalischen Qualität solche Wettbewerbe doch lieber auf Video dokumentiert werden sollten. Für Veranstaltungen wie den Swiss Entertainment Contest (für Brassbands) gilt Ähnliches.","chlive","KOB","Amos","34,00","5764","","","","Amos","17.38",""
"Australian Brass","26","Australien","BG Music Productions (über Egon Publishers)","Eine Art nationaler australischer Brassband präsentiert nahezu die gesamte Breite des Repertoires.","ausaustralianbrass","BRB","","","","","","","Egon","",""
"Australian Wind Orchestra","27","Australien","Mark MW93MCD-27","Hinweise zu den Produktionen der Firma Mark Custom Recording Service siehe CD »1988 Mid-West US Marine Band«.","","KOB","","","","","","","Mark","",""
"200 Jaar Harmoniemuziek in Vlaanderen","28","Belgien","Eurosound ES 47.214","","","KOB","","","","","","","Eurosound","",""
"75th Anniversary","29","Belgien","Staf Devolder ","Zu seinem Jubiläum gab sich das Konzertblasorchester Vooruit überwiegend wienerisch. Allerdings ist es kein »Neujahrskonzert im Bläsergewand« und obgleich durchwegs gediegene Unterhaltung, wird der Live-Mitschnitt nur bedingt den Ansprüchen gerecht, die man gemeinhin an Produktionen dieses Orchesters stellt. Beim Gastdirigenten Willy Claes handelt es sich übrigens um den ehemaligen NATO-Generalsekretär.","b75thanniversary","KOB","","","","","","","Devolder","",""
"A Prelude to Applause","30","Belgien","MUMU 3006","Hier wird ein vielseitiges Repertoire geboten: originelle japanische Klänge, Klassiker des spanischen und belgischen Repertoires, Bearbeitungen aus dem Jazz und neue Werke für Bigband. Alles wird sicher geführt von Peter Snellinckx, der Ende 2000 im belgischen Magazin Fedekam Nieuws als »Harmonie-Fanatiker« vorgestellt wurde.","bpreludeapplause","KOBSON","","","","","","","MUMU","","0:56:22"
"Amazonia ","2027","Belgien","De Haske-Records DHM 2.014-3","Titekstück dieser CD ist die Referenzaufnahme des gleichnamigen Stücks von Jan Van der Roost – eines der ersten Blasmusikwerke, das auf die Situation der Amazonas-Indianer aufmerksam macht.","amazoniasymphonicband","KOB","De Haske","35,00","2.014-3","","","","Haske","17.9","1:07:32"
"Andel's Wind Band Series Vol. 2","31","Belgien","Eurosound ES 47.092 CD","Der Verlag Andel aus Oostende ist ein traditionsreiches Haus, das in seinen heutigen Ausgaben ein großes blasmusikalisches Spektrum vertritt und sich zunehmend international orientiert, vor allem in Bezug auf die Einspielung seiner Verlags-CDs: Vol. 4 der »Andel's Wind Band Series« wurde unter dem Titel »Hello« in den USA mit der Symphonic Band der University of Northern Texas produziert. Interpret der jüngsten Einspielung »Laudi Spirituale« ist das Zentralorchester der Armee Litauens.","bandel2","KOB","Carpe Diem Musikverlag","45,00","ES47.092","","","","Andel","23.01","1:06:29"
